state	1972	1976	1980	1984	1988	1992	1996	2000	2004	2008	2012	2016	2020	party
Alabama	Nixon	Carter	Reagan	Reagan	Bush	Bush	Dole	Bush	Bush	McCain	Romney	Trump	Trump	Republican
Alaska	Nixon	Ford	Reagan	Reagan	Bush	Bush	Dole	Bush	Bush	McCain	Romney	Trump	Trump	Republican
Arizona	Nixon	Ford	Reagan	Reagan	Bush	Bush	Clinton	Bush	Bush	McCain	Romney	Trump	Biden	Swing
Arkansas	Nixon	Carter	Reagan	Reagan	Bush	Clinton	Clinton	Bush	Bush	McCain	Romney	Trump	Trump	Republican
California	Nixon	Ford	Reagan	Reagan	Bush	Clinton	Clinton	Gore	Kerry	Obama	Obama	Clinton	Biden	Democrat
Colorado	Nixon	Ford	Reagan	Reagan	Bush	Clinton	Dole	Bush	Bush	Obama	Obama	Clinton	Biden	Democrat
Connecticut	Nixon	Ford	Reagan	Reagan	Bush	Clinton	Clinton	Gore	Kerry	Obama	Obama	Clinton	Biden	Democrat
Delaware	Nixon	Carter	Reagan	Reagan	Bush	Clinton	Clinton	Gore	Kerry	Obama	Obama	Clinton	Biden	Democrat
District of Columbia	McGovern	Carter	Carter	Mondale	Dukakis	Clinton	Clinton	Gore	Kerry	Obama	Obama	Clinton	Biden	Democrat
Florida	Nixon	Carter	Reagan	Reagan	Bush	Bush	Clinton	Bush	Bush	Obama	Obama	Trump	Trump	Republican
Georgia	Nixon	Carter	Carter	Reagan	Bush	Clinton	Dole	Bush	Bush	McCain	Romney	Trump	Biden	Swing
Hawaii	Nixon	Carter	Carter	Reagan	Dukakis	Clinton	Clinton	Gore	Kerry	Obama	Obama	Clinton	Biden	Democrat
Idaho	Nixon	Ford	Reagan	Reagan	Bush	Bush	Dole	Bush	Bush	McCain	Romney	Trump	Trump	Republican
Illinois	Nixon	Ford	Reagan	Reagan	Bush	Clinton	Clinton	Gore	Kerry	Obama	Obama	Clinton	Biden	Democrat
Indiana	Nixon	Ford	Reagan	Reagan	Bush	Bush	Dole	Bush	Bush	Obama	Romney	Trump	Trump	Republican
Iowa	Nixon	Ford	Reagan	Reagan	Dukakis	Clinton	Clinton	Gore	Bush	Obama	Obama	Trump	Trump	Republican
Kansas	Nixon	Ford	Reagan	Reagan	Bush	Bush	Dole	Bush	Bush	McCain	Romney	Trump	Trump	Republican
Kentucky	Nixon	Carter	Reagan	Reagan	Bush	Clinton	Clinton	Bush	Bush	McCain	Romney	Trump	Trump	Republican
